DSA(CSE2001) CAT1 (50),DSA(CSE2001) CAT2 (50),DSA(CSE2001)Grade,DMS(MAT1003) CAT1 (50),DMS(MAT1003)CAT2 (50),FEEE(ECE1002)CAT1 (50),FEEE(ECE1002) CAT2 (50),FEEE(ECE1002) Total (200),FEEE(ECE1002)Grade,ED(MEC1004) CAT1 (50),ED(MEC1004)CAT2 (50),ED(MEC1004) Total (200),CG(CSE2006) CAT1 (50),CG(CSE2006)CAT2 (50),CG(CSE2006) Total (160),CG(CSE2006) Grade,FSM(MGT1020)Grade,DAA(CSE3004) CAT1 (50),DAA(CSE3004)  CAT2 (50),DAA(CSE3004) Grade,LSM(MGT1002) CAT1 (50),LSM(MGT1002) CAT2 (50),LSM(MGT1002) Grade,ADDA(MAT1002) CAT1 (50),ADDA(MAT1002) CAT2 (50),ADDA(MAT1002) Total (200),CSDF(CSE2011) CAT1 (50),CSDF(CSE2011) CAT2 (50),CSDF(CSE2011) Total (200),CN(CSE3003) CAT1 (50),CN(CSE3003) CAT2 (50),CN(CSE3003) Total (160),CN(CSE3003) Grade,OOP(CSE2005) Grade,OS(CSE2008) CAT1 (50),OS(CSE2008) CAT2 (50),OS(CSE2008) Total (200),OS(CSE2008) Grade,SE(CSE1005) CAT1 (50),SE(CSE1005) CAT2 (50),SE(CSE1005) Grade,DBMS(CSE2007) CAT1 (50),DBMS(CSE2007) CAT2 (50),DBMS(CSE2007) Total (200),DBMS(CSE2007) Grade,TBL(MGT1027) Grade,WT(CSE4004) CAT1 (50),WT(CSE4004) CAT2 (50),WT(CSE4004) Total (160),WT(CSE4004) Grade,CP(CSE3032) CAT1 (50),CP(CSE3032) CAT2 (50),CP(CSE3032) Grade,OT(MAT2003) CAT1 (50),OT(MAT2003) CAT2 (50),OT(MAT2003) Total (160),OT(MAT2003) Grade,NP(CSE3011) CAT1 (50),NP(CSE3011) CAT2 (50),NP(CSE3011) Total (160),NP(CSE3011) Grade,MAD(CSE4002) CAT1 (50),MAD(CSE4002) CAT2 (50),MAD(CSE4002) Total (200),C(ONL1002) Grade,AFE(MGT1008) CAT1 (50),AFE(MGT1008) CAT2 (50),AFE(MGT1008) Total (160),AFE(MGT1008) Grade,STAT(MAT1001) ESTAT (70),STAT(MAT1001) ISTAT (30),STAT(MAT1001) Total (160),STAT(MAT1001) Grade, Sem-VI Total (940),NLP(CSE3015) CAT1 (50),NLP(CSE3015) CAT2 (50),NLP(CSE3015) Total (160),NLP(CSE3015) Grade,IML(CSE3008) CAT1 (50),IML(CSE3008) CAT2 (50),OPTO(PHY2004) CAT1 (50),OPTO(PHY2004) CAT2 (50),OPTO(PHY2004) Total (200),OPTO(PHY2004) Grade,NANO(PHY2005) Grade,FRENCH-I(FRL1001) Total (100),FRENCH-I(FRL1001) Grade,LA(MAT2005) CAT1 (50),LA(MAT2005) CAT2 (50),LA(MAT2005) Total (100),LA(MAT2005) Grade,EVS(CHY1001) CAT1 (50),EVS(CHY1001) CAT2 (50),EVS(CHY1001) Total (160),EVS(CHY1001) Grade,NME(MAT2001) CAT1 (50),NME(MAT2001) CAT2 (50),NME(MAT2001) Total (160),NME(MAT2001) Grade,ITC(CSE2013) CAT1 (50),ITC(CSE2013) CAT2 (50),ITC(CSE2013) Total (200),ITC(CSE2013) Grade,COA(ECE2002) Grade,SNA(CSE4008)  CAT1 (50),SNA(CSE4008) CAT2 (50),SNA(CSE4008) Total (160),SNA(CSE4008) Grade,FOM(MGT1003) CAT1 (50),FOM(MGT1003) CAT2 (50)
33,30,4,44,29,49,30,151,6,40,28,140,32,28,84,4,6,28,30,4,44,25,5,43,28,144,43,27,140,32,30,86,4,6,44,29,144,6,43,29,5,55,27,150,6,6,41,26,89,5,26,26,4,35,29,88,5,37,29,90,5,53,28,147,6,39,28,90,5,37,29,90,5,674,32,29,85,4,40,29,41,28,141,6,6,73,6,47,29,76,5,34,29,87,4,70,29,123,6,68,29,170,6,6,70,29,123,6,49,29
33,21,3,45,27,35,24,117,4,40,29,129,44,25,88,5,6,52,24,5,40,29,5,43,21,128,44,26,135,40,26,89,5,6,48,24,142,6,38,28,5,42,28,139,5,6,48,27,98,5,54,24,5,37,24,85,4,38,25,85,4,49,26,141,6,41,22,82,4,39,25,86,4,637,40,26,88,5,55,25,39,27,127,5,5,67,6,50,20,70,5,54,24,100,6,70,28,121,6,67,27,156,6,6,70,26,119,6,70,27
34,20,4,41,27,37,16,100,3,39,19,114,33,17,72,3,5,41,21,4,36,17,4,40,16,106,44,21,121,40,17,74,3,4,41,26,124,5,30,25,4,37,16,84,1,5,42,25,88,5,28,25,3,42,22,82,4,41,20,78,4,46,18,99,5,41,23,83,4,45,27,96,5,581,45,25,91,5,54,25,38,28,130,5,6,66,6,46,29,75,5,42,26,89,5,70,28,121,6,70,28,168,6,6,70,28,121,6,42,28
42,23,4,36,18,0,23,0,1,44,27,130,48,22,90,5,5,30,25,4,33,27,4,39,27,129,43,24,132,42,28,93,5,5,38,26,131,5,30,26,4,48,24,132,5,6,45,24,90,5,37,28,5,33,23,76,4,52,25,100,6,37,25,127,5,32,26,79,4,34,28,86,4,624,38,21,78,4,39,26,44,23,128,5,5,62,6,45,22,67,4,51,21,92,5,70,28,122,6,70,24,156,6,6,70,24,116,6,70,24
31,29,4,32,20,12,19,84,1,30,20,104,28,18,67,4,4,38,25,4,38,21,4,32,22,107,29,13,98,21,17,59,2,5,30,27,116,4,21,23,1,16,20,76,1,5,29,25,75,4,18,25,1,28,24,72,3,31,28,82,4,34,23,115,5,28,28,79,4,26,28,79,4,562,29,28,80,4,34,27,34,25,126,5,6,69,6,29,25,54,4,29,26,77,4,61,29,112,6,67,28,163,6,6,70,28,120,6,46,29
